SOURCE NODE ID,TARGET NODE ID,SOURCE SCENE ID,TARGET SCENE ID
"168","169","1","2"
"169","168","2","1"
"169","170","2","3"
"170","169","3","2"
"170","171","3","4"
"171","170","4","3"
"171","172","4","5"
"172","171","5","4"
"172","173","5","6"
"172","173","85","84"
"172","174","109","110"
"172","174","109","108"
"172","175","9","8"
"172","176","9","10"
"172","186","33","32"
"172","186","31","32"
"172","190","31","30"
"172","191","33","34"
"172","192","36","35"
"172","193","46","47"
"172","193","36","37"
"172","198","46","45"
"172","207","85","86"
"172","214","114","115"
"172","215","117","116"
"172","215","114","113"
"172","216","117","118"
"173","172","6","5"
"173","172","84","85"
"173","174","6","7"
"173","174","107","108"
"173","179","25","26"
"173","179","27","26"
"173","187","25","24"
"173","188","27","28"
"173","193","39","40"
"173","194","39","38"
"173","196","43","42"
"173","197","43","44"
"173","200","98","97"
"173","202","84","83"
"173","209","98","99"
"173","212","107","106"
"174","172","110","109"
"174","172","108","109"
"174","173","7","6"
"174","173","108","107"
"174","175","7","8"
"174","213","110","111"
"175","172","8","9"
"175","174","8","7"
"176","172","10","9"
"176","177","10","11"
"177","176","11","10"
"177","178","11","12"
"178","177","12","11"
"178","179","12","13"
"179","173","26","25"
"179","173","26","27"
"179","178","13","12"
"179","180","13","14"
"180","179","14","13"
"180","181","14","15"
"181","180","15","14"
"181","182","15","16"
"181","182","17","16"
"181","183","17","18"
"182","181","16","15"
"182","181","16","17"
"183","181","18","17"
"183","184","18","19"
"183","184","20","19"
"183","185","22","21"
"183","185","20","21"
"183","186","22","23"
"184","183","19","20"
"184","183","19","18"
"185","183","21","22"
"185","183","21","20"
"186","172","32","31"
"186","172","32","33"
"186","183","23","22"
"186","187","23","24"
"187","173","24","25"
"187","186","24","23"
"188","173","28","27"
"188","189","252","253"
"188","189","269","270"
"188","189","177","178"
"188","189","179","178"
"188","189","28","29"
"188","215","179","180"
"188","215","261","260"
"188","215","261","262"
"188","215","252","251"
"188","223","269","268"
"188","232","177","176"
"189","188","178","179"
"189","188","178","177"
"189","188","270","269"
"189","188","253","252"
"189","188","29","28"
"189","190","29","30"
"189","213","253","254"
"189","215","263","264"
"189","215","265","264"
"189","215","263","262"
"189","215","256","255"
"189","220","124","123"
"189","221","124","125"
"189","223","265","266"
"189","234","151","150"
"189","235","151","152"
"189","287","258","259"
"189","287","256","257"
"189","287","258","257"
"189","288","270","271"
"190","172","30","31"
"190","189","30","29"
"191","172","34","33"
"191","192","34","35"
"192","172","35","36"
"192","191","35","34"
"192","230","145","144"
"192","231","145","146"
"192","235","153","152"
"192","236","153","154"
"193","172","47","46"
"193","172","37","36"
"193","173","40","39"
"193","194","37","38"
"193","195","40","41"
"193","199","48","49"
"193","199","50","49"
"193","200","50","51"
"193","201","65","64"
"193","204","65","66"
"193","206","81","82"
"193","207","81","80"
"194","173","38","39"
"194","193","38","37"
"195","193","41","40"
"195","196","41","42"
"195","215","181","180"
"195","251","181","182"
"196","173","42","43"
"196","195","42","41"
"197","173","44","43"
"197","198","44","45"
"198","172","45","46"
"198","197","45","44"
"199","193","49","50"
"199","193","49","48"
"200","173","97","98"
"200","193","51","50"
"200","201","53","54"
"200","201","53","52"
"200","201","51","52"
"200","208","97","96"
"201","193","64","65"
"201","200","52","53"
"201","200","54","53"
"201","200","52","51"
"201","202","61","62"
"201","202","56","55"
"201","202","61","60"
"201","202","54","55"
"201","203","56","57"
"201","203","58","57"
"201","204","58","59"
"201","205","64","63"
"202","173","83","84"
"202","201","62","61"
"202","201","55","54"
"202","201","60","61"
"202","201","55","56"
"202","204","60","59"
"202","204","67","66"
"202","205","62","63"
"202","206","83","82"
"202","206","67","68"
"202","206","69","68"
"202","207","69","70"
"202","207","91","92"
"202","207","89","88"
"202","208","91","90"
"202","208","94","93"
"202","208","89","90"
"202","208","94","95"
"203","201","57","58"
"203","201","57","56"
"204","193","66","65"
"204","201","59","58"
"204","202","66","67"
"204","202","59","60"
"204","207","87","86"
"204","207","104","105"
"204","207","104","103"
"204","207","87","88"
"205","201","63","64"
"205","202","63","62"
"206","193","82","81"
"206","202","82","83"
"206","202","68","67"
"206","202","68","69"
"206","207","75","74"
"206","207","75","76"
"206","207","77","76"
"206","207","71","70"
"206","207","71","72"
"206","207","73","72"
"206","207","73","74"
"206","207","79","80"
"207","172","86","85"
"207","193","80","81"
"207","202","70","69"
"207","202","88","89"
"207","202","92","91"
"207","204","103","104"
"207","204","105","104"
"207","204","86","87"
"207","204","88","87"
"207","206","76","77"
"207","206","76","75"
"207","206","74","75"
"207","206","74","73"
"207","206","72","73"
"207","206","72","71"
"207","206","70","71"
"207","206","80","79"
"207","208","92","93"
"207","209","100","99"
"207","210","100","101"
"207","211","103","102"
"207","212","105","106"
"208","200","96","97"
"208","202","90","89"
"208","202","93","94"
"208","202","90","91"
"208","202","95","94"
"208","207","93","92"
"209","173","99","98"
"209","207","99","100"
"210","207","101","100"
"210","211","101","102"
"211","207","102","103"
"211","210","102","101"
"212","173","106","107"
"212","207","106","105"
"213","174","111","110"
"213","189","254","253"
"213","214","111","112"
"213","215","254","255"
"213","282","241","242"
"213","284","241","240"
"214","172","115","114"
"214","213","112","111"
"214","215","112","113"
"214","215","115","116"
"215","172","116","117"
"215","172","113","114"
"215","188","180","179"
"215","188","262","261"
"215","188","260","261"
"215","188","251","252"
"215","189","262","263"
"215","189","264","265"
"215","189","255","256"
"215","189","264","263"
"215","195","180","181"
"215","213","255","254"
"215","214","116","115"
"215","214","113","112"
"215","219","122","121"
"215","220","122","123"
"215","221","126","125"
"215","222","128","127"
"215","222","126","127"
"215","223","267","266"
"215","223","267","268"
"215","223","130","129"
"215","223","128","129"
"215","224","130","131"
"215","226","134","133"
"215","227","134","135"
"215","227","136","135"
"215","228","138","137"
"215","228","138","139"
"215","228","136","137"
"215","231","147","146"
"215","232","147","148"
"215","247","171","170"
"215","248","173","172"
"215","248","171","172"
"215","249","173","174"
"215","253","185","184"
"215","254","185","186"
"215","279","230","229"
"215","280","230","231"
"215","282","248","247"
"215","282","236","235"
"215","282","243","242"
"215","282","246","247"
"215","282","243","244"
"215","283","236","237"
"215","285","246","245"
"215","286","248","249"
"215","287","260","259"
"215","287","251","250"
"215","288","272","271"
"215","289","274","273"
"215","289","274","275"
"215","289","272","273"
"216","172","118","117"
"216","217","118","119"
"217","216","119","118"
"217","218","140","141"
"217","218","119","120"
"217","228","140","139"
"218","217","141","140"
"218","217","120","119"
"218","219","120","121"
"218","229","141","142"
"218","229","143","142"
"218","230","143","144"
"218","265","205","204"
"218","266","205","206"
"218","269","212","213"
"218","270","212","211"
"219","215","121","122"
"219","218","121","120"
"220","189","123","124"
"220","215","123","122"
"221","189","125","124"
"221","215","125","126"
"222","215","127","128"
"222","215","127","126"
"223","188","268","269"
"223","189","266","265"
"223","215","129","130"
"223","215","129","128"
"223","215","268","267"
"223","215","266","267"
"224","215","131","130"
"224","225","131","132"
"225","224","132","131"
"225","226","132","133"
"226","215","133","134"
"226","225","133","132"
"227","215","135","136"
"227","215","135","134"
"228","215","137","136"
"228","215","139","138"
"228","215","137","138"
"228","217","139","140"
"228","229","164","165"
"228","242","164","163"
"229","218","142","141"
"229","218","142","143"
"229","228","165","164"
"229","243","165","166"
"230","192","144","145"
"230","218","144","143"
"231","192","146","145"
"231","215","146","147"
"231","239","159","158"
"231","240","159","160"
"232","188","176","177"
"232","215","148","147"
"232","233","148","149"
"232","250","176","175"
"233","232","149","148"
"233","234","149","150"
"234","189","150","151"
"234","233","150","149"
"235","189","152","151"
"235","192","152","153"
"236","192","154","153"
"236","237","155","156"
"237","236","156","155"
"237","238","156","157"
"238","237","157","156"
"238","239","157","158"
"238","240","161","160"
"238","241","161","162"
"239","231","158","159"
"239","238","158","157"
"240","231","160","159"
"240","238","160","161"
"241","238","162","161"
"241","242","162","163"
"242","228","163","164"
"242","241","163","162"
"243","229","166","165"
"243","244","166","167"
"244","243","167","166"
"244","245","167","168"
"245","244","168","167"
"245","246","168","169"
"246","245","169","168"
"246","247","169","170"
"247","215","170","171"
"247","246","170","169"
"248","215","172","173"
"248","215","172","171"
"249","215","174","173"
"249","250","174","175"
"250","232","175","176"
"250","249","175","174"
"251","195","182","181"
"251","252","182","183"
"252","251","183","182"
"252","253","183","184"
"253","215","184","185"
"253","252","184","183"
"254","215","186","185"
"254","255","186","187"
"255","254","187","186"
"255","256","191","190"
"255","256","187","188"
"255","257","193","194"
"255","258","191","192"
"255","258","193","192"
"255","282","238","239"
"255","283","238","237"
"256","255","190","191"
"256","255","188","187"
"256","257","188","189"
"256","257","190","189"
"257","255","194","193"
"257","256","189","190"
"257","256","189","188"
"257","259","214","215"
"257","259","194","195"
"257","259","196","195"
"257","260","196","197"
"257","262","202","201"
"257","264","202","203"
"257","269","219","218"
"257","269","214","213"
"257","273","219","220"
"257","273","221","220"
"257","274","221","222"
"257","277","227","226"
"257","278","227","228"
"258","255","192","193"
"258","255","192","191"
"259","257","195","196"
"259","257","195","194"
"259","257","215","214"
"259","271","215","216"
"260","257","197","196"
"260","261","197","198"
"261","260","198","197"
"261","262","198","199"
"262","257","201","202"
"262","261","199","198"
"262","263","199","200"
"262","263","201","200"
"263","262","200","201"
"263","262","200","199"
"264","257","203","202"
"264","265","203","204"
"265","218","204","205"
"265","264","204","203"
"266","218","206","205"
"266","267","206","207"
"266","268","209","208"
"266","269","209","210"
"267","266","207","206"
"267","268","207","208"
"268","266","208","209"
"268","267","208","207"
"269","218","213","212"
"269","257","218","219"
"269","257","213","214"
"269","266","210","209"
"269","270","210","211"
"269","272","218","217"
"269","274","223","222"
"269","275","223","224"
"270","218","211","212"
"270","269","211","210"
"271","259","216","215"
"271","272","216","217"
"272","269","217","218"
"272","271","217","216"
"273","257","220","221"
"273","257","220","219"
"274","257","222","221"
"274","269","222","223"
"275","269","224","223"
"275","276","224","225"
"276","275","225","224"
"276","277","225","226"
"276","280","232","231"
"276","281","233","234"
"277","257","226","227"
"277","276","226","225"
"278","257","228","227"
"278","279","228","229"
"279","215","229","230"
"279","278","229","228"
"280","215","231","230"
"280","276","231","232"
"281","276","234","233"
"281","282","234","235"
"282","213","242","241"
"282","215","247","248"
"282","215","242","243"
"282","215","244","243"
"282","215","235","236"
"282","215","247","246"
"282","255","239","238"
"282","281","235","234"
"282","284","239","240"
"282","285","244","245"
"283","215","237","236"
"283","255","237","238"
"284","213","240","241"
"284","282","240","239"
"285","215","245","246"
"285","282","245","244"
"286","215","249","248"
"286","287","249","250"
"287","189","257","256"
"287","189","259","258"
"287","189","257","258"
"287","215","250","251"
"287","215","259","260"
"287","286","250","249"
"288","189","271","270"
"288","215","271","272"
"289","215","273","272"
"289","215","273","274"
"289","215","275","274"
"289","290","275","276"
"290","289","276","275"
"290","291","276","277"
"291","290","277","276"
